system;система
to go on;продолжать
foundation;основа
higher education establishment;вуз
university;университет 
to pass exams;сдать экзамены
population;население
mark;оценка
prestigious;престижный 
research paper;исследовательская работа
contribution;вклад
undergraduate;студент
federation;федерация
a bachelor;бакалавр
grant;грант
sciences;естественные науки
academic;академический
similar;похожий
programme;программа
to state;излагать
gymnasium;гимназия
applied;прикладные
organization;организация
great demand;высокие требования
equivalent;аналог
graduates;выпускники
regulate;регулировать
to take competitive exams;сдавать конкурсные экзамены
standard;стандарт
vocational school;профессиональное училище
professional;профессиональный
the higher education system;система высшего образования 
humanities;гуманитарные науки
state exams;государственные экзамены
social-economic;социально-экономический 
professional courses;профессиональные курсы 
discipline;дисциплина 
final exams;выпускные экзамены 
special courses;специальные курсы 
final;итоговый 
a degree;степень 
practice;практика
academic subjects;академические предметы
term;семестр
to exceed;превышать
lecture;лекция
fee-paying;платные услуги
right to education;право на образование
all-round education;универсальное образование
higher education;высшее образование
compulsory education;обязательное образование 
extramural and evening courses;заочные и вечерние курсы
state-funded places;бюджетные места
Bachelor’s degree;степень бакалавра
vocational training;профессиональная подготовка
Master’s degree;степень магистра 
a thesis;дипломная работа
many-sided education;многогранное образование 
the system of state scholarships and grants;система государственных стипендий и грантов
dormitory;общежитие
applicant;абитуриент
to educate;образовывать 
at least;по крайней мере
to provide an education;предоставлять обучение 
to award;присуждать
free education;бесплатное образование 
to carry out;завершить
special education;специальное образование 
completion;завершение
general education;общее образование 
compulsory;обязательный
liberal education;гуманитарное образование 
core curriculum;основная программа
elementary education;начальное образование (детский сад)
to defend a thesis;защитить дипломную работу
primary education;начальное образование (1-4 класс)
secondary education;среднее образование
lyceum;лицей
to elaborate;разрабатывать
to attend;посещать
to ensure;обеспечивать, гарантировать 
to teach;обучать
finals;выпускные экзамены
to fail an exam;провалить экзамен
department;факультет
professional and special courses;профессиональные и специальные курсы 
in the framework of;в рамках, пределах
access to programmes;доступ к программам
full-time university-level;дневное отделение
part-time university-level;вечернее отделение
sсholar;ученый в отрасли гуманитарных наук
successful completion;успешное окончание 
scientist;ученый в отрасли естественных наук 
transitional period;переходный период 
a project;курсовая работа
leading;ведущий
to graduate from;оканчивать вуз
requirements;требования 
outstanding;выдающийся
well-known;хорошо известный
academic year;учебный год 
to sit an exam;сдавать экзамен
attendance;посещение
to hold an exam;проводить экзамен 
quality ;качество
specialist;специалист
to enjoy the highest reputation;иметь самую высокую репутацию
on the initiative;по инициативе 
entry exams;вступительные экзамены
achievements;достижения
according to the standard;согласно стандарту 
worldwide;всемирное признание 
summer vacations;летние каникулы 
necessary facilities;благоприятные условия 
courses for specific professional needs;курсы для определенных профессиональных потребностей 
to work according to something;работать в соответствие с чем-то
research;исследование 
postgraduate;аспирантура 
to cooperate;сотрудничать
cooperation;сотрудничество 
to supply;обеспечивать 
international organizations;международные организации
